TIME-IN ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 03,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,0,0,0,0,0,0,0,0,3,25,11,1,40
Ipad Area,0,0,0,0,0,0,0,0,0,3,2,0,5
Relaxation Room,0,0,0,0,0,0,0,0,7,4,2,0,13
Individual Study Room,0,0,0,0,0,0,0,0,0,1,0,0,1
Laptop Area,0,0,0,0,0,0,0,0,6,38,6,0,50
Smart Device  Zone,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,0,0,0,16,71,21,1,109
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 04,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,49,24,105,127,105,141,78,61,55,32,5,1,783
Ipad Area,3,3,19,57,20,23,26,17,11,12,1,0,192
Relaxation Room,12,4,10,23,22,27,22,10,14,3,0,0,147
Individual Study Room,0,1,5,15,9,14,8,2,5,1,0,0,60
Laptop Area,8,6,64,57,52,53,78,37,36,10,11,0,412
Smart Device Zone,5,2,9,24,63,37,25,12,5,2,0,0,184
TOTAL,77,40,212,303,271,295,237,139,126,60,17,1,1778
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November  05,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,36,76,133,130,154,133,126,75,77,71,28,0,1039
Ipad Area,6,9,18,32,15,25,27,0,11,8,3,0,154
Relaxation Room,2,20,22,36,13,50,22,28,10,11,0,0,214
Individual Study Room,1,4,5,15,24,13,20,8,4,0,0,0,94
Laptop Area,10,24,51,126,87,104,101,98,49,31,7,0,688
Smart Device Zone,2,6,5,22,49,34,54,29,11,4,0,0,216
TOTAL,57,139,234,361,342,359,350,238,162,125,38,11,2405
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November  06,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,79,109,144,179,158,138,186,124,100,38,20,8,1283
Ipad Area,8,15,29,32,30,20,31,29,11,13,7,1,226
Relaxation Room,0,11,28,26,14,10,61,23,21,6,0,0,200
Individual Study Room,4,10,5,18,15,15,26,14,1,0,0,0,108
Laptop Area,4,50,65,98,110,39,104,77,39,14,13,0,613
Smart Device Zone,3,1,16,63,27,43,31,31,13,1,0,0,229
TOTAL,98,196,287,416,354,265,439,298,185,72,40,9,2659
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 07,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,66,103,158,117,134,148,114,80,56,61,15,8,1060
Ipad,9,21,31,25,27,21,17,22,8,13,2,0,196
Relaxation Room,9,18,25,27,3,26,44,30,18,1,0,0,201
Individual Study Room,9,2,5,22,10,29,13,7,3,4,0,0,104
Laptop Area,9,22,94,80,87,84,76,51,20,17,0,0,540
Smart Device,9,15,53,43,39,56,44,25,11,6,1,0,302
TOTAL,111,181,366,314,300,364,308,215,116,102,18,8,2403
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 12,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,30,108,99,128,114,150,115,72,65,48,30,2,961
Ipad,2,16,16,17,30,29,21,33,22,6,3,0,195
Relaxation Room,5,23,18,25,15,47,36,16,20,7,0,0,212
Individual Study Room,1,3,10,11,20,9,15,10,3,0,0,0,82
Laptop Area,7,48,55,78,90,85,90,71,38,26,9,0,597
Smart Device,0,1,22,36,31,49,51,29,24,5,0,0,248
TOTAL,45,199,220,295,300,369,328,231,172,92,42,2,2295
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 13,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,64,104,185,208,137,150,144,159,67,84,40,10,1352
Ipad,13,19,23,34,25,20,32,27,14,11,6,0,224
Relaxation Room,6,23,16,30,14,24,34,34,20,6,2,0,209
Individual Study Room,0,3,18,17,12,22,11,6,6,4,1,0,100
Laptop Area,19,43,71,106,68,139,87,70,49,27,4,0,683
Smart Device,10,17,27,30,41,69,49,24,12,4,0,0,283
TOTAL,112,209,340,425,297,424,357,320,168,136,53,10,2851
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 14,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,95,152,191,186,206,201,177,127,66,49,14,1,1465
Ipad,7,20,24,41,22,27,28,14,14,10,0,0,207
Relaxation Room,6,25,11,33,17,27,28,33,22,5,0,0,207
Individual Study Room,0,8,23,14,19,14,22,11,3,4,1,0,119
Laptop Area,23,55,6,2,0,9,65,63,30,13,5,0,271
Smart Device,2,0,0,0,1,2,31,42,27,3,0,0,108
TOTAL,133,260,255,276,265,280,351,290,162,84,20,1,2377
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November  15,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,0,37,68,77,43,27,34,35,27,20,1,0,369
Ipad,0,2,9,19,22,10,13,23,5,4,9,0,116
Relaxation Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Study Room,0,0,0,0,9,2,2,7,1,1,0,0,22
Laptop Area,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Device,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,39,77,96,74,39,49,65,33,25,10,0,507
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 17,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,43,101,129,80,95,130,61,58,52,41,8,7,805
Ipad,5,12,20,11,12,24,20,9,23,13,4,0,153
Relaxation Room,0,5,16,16,20,39,29,16,8,2,0,0,151
Individual Study Room,0,4,5,8,9,16,6,6,2,0,0,0,56
Laptop Area,8,26,66,51,26,82,69,38,50,21,4,0,441
Smart Device,2,29,12,18,15,30,9,14,9,1,0,0,139
TOTAL,58,177,248,184,177,321,194,141,144,78,16,7,1745
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 18,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,91,154,135,177,163,123,115,97,76,55,21,3,1210
Ipad Area,20,27,28,28,20,23,34,30,13,17,6,5,251
Relaxation Room,11,23,32,23,12,31,14,24,24,9,3,0,206
Individual Study Room,11,12,21,19,17,21,13,17,12,3,1,0,147
Laptop Area,15,46,66,87,98,56,90,77,31,22,5,0,593
Smart Device  Zone,3,11,37,69,59,38,70,54,32,15,0,0,388
TOTAL,151,273,319,403,369,292,336,299,188,121,36,8,2795
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 19,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,84,140,143,185,166,182,153,135,89,71,18,4,1370
Ipad Area,10,28,21,89,24,35,24,20,12,14,2,4,283
Relaxation Room,0,23,19,30,16,43,22,29,19,13,6,0,220
Individual Study Room,5,18,11,13,18,19,20,12,13,4,0,0,133
Laptop Area,16,35,63,89,94,64,113,75,45,22,0,0,616
Smart Device Zone,3,10,22,40,46,47,49,32,20,27,0,0,296
TOTAL,118,254,279,446,364,390,381,303,198,151,26,8,2918
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 20,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,86,153,172,136,172,131,204,144,109,118,21,16,1462
Ipad Area,11,38,29,34,29,17,32,37,17,16,0,0,260
Relaxation Room,0,22,17,28,19,21,57,20,24,12,3,0,223
Individual Study Room,4,8,21,18,13,19,24,30,9,6,0,1,153
Laptop Area,9,42,101,119,90,92,66,75,37,19,0,0,650
Smart Device Zone,0,14,54,52,71,37,56,44,37,4,0,0,369
TOTAL,110,277,394,387,394,317,439,350,233,175,24,17,3117
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 21,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,58,133,181,184,168,214,152,158,93,96,19,4,1460
Ipad Area,1,27,49,28,20,20,38,33,19,6,2,0,243
Relaxation Room,0,33,19,20,25,50,19,34,16,15,0,0,231
Individual Study Room,5,9,24,24,18,13,16,6,6,1,0,0,122
Laptop Area,5,18,115,102,94,95,88,42,31,15,9,0,614
Smart Device Zone,7,9,52,41,74,41,54,29,12,6,0,0,325
TOTAL,76,229,440,399,399,433,367,302,177,139,30,4,2995
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 22,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,0,38,53,56,39,61,35,31,9,22,0,0,344
Ipad,0,13,4,10,10,17,17,5,1,3,0,0,80
Relaxation Room,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual Study Room,0,7,5,6,0,5,9,0,0,1,0,0,33
Laptop Area,0,0,0,0,0,0,0,0,0,0,0,0,0
Smart Device,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,58,62,72,49,83,61,36,10,26,0,0,457
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"November 24,2025",,,,,,,,,,,,,
