TIME-IN ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"September  02,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,7,57,74,95,66,101,82,98,82,81,4,0,747
Ipad Area,1,10,25,30,14,27,23,27,14,15,1,0,187
Relaxation Room,0,18,12,19,8,11,24,18,16,13,0,0,139
Individual Study Room,0,13,6,15,13,8,22,7,5,1,1,0,91
Laptop Area,0,6,35,81,58,39,22,68,21,20,0,0,350
Smart Device  Zone,0,2,8,24,25,12,19,23,8,5,0,0,126
TOTAL,8,106,160,264,184,198,192,241,146,135,6,0,1640
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"September  03,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,33,72,93,104,93,128,107,51,47,39,7,8,782
Ipad Area,0,14,31,64,27,22,20,30,25,4,4,1,242
Relaxation Room,6,23,13,14,5,44,21,4,10,5,0,0,145
Individual Study Room,3,4,12,16,7,11,17,12,5,3,0,0,90
Laptop Area,1,11,27,64,36,14,33,25,30,4,0,0,245
Smart Device Zone,0,6,21,26,15,40,22,17,11,4,0,0,162
TOTAL,43,130,197,288,183,259,220,139,128,59,11,9,1666
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"September  04,2025",,,,,,,,,,,,,
Floor  Area,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,TOTAL
Ground Floor,50,75,116,119,104,123,90,107,57,62,13,11,927
Ipad Area,4,33,21,25,28,24,28,13,8,15,3,0,202
Relaxation Room,25,32,28,41,28,33,41,31,28,14,7,0,308
Individual Study Room,3,28,22,12,25,30,25,28,8,4,2,0,187
